feature_x,feature_y,correlation,p-value
Vowel Quality Inventories (2A),Obligatory Double Negation (143B),0.708368513996407,0.0194484637129352
Consonant-Vowel Ratio (3A),Internally-headed relative clauses (90D),0.5156532443399037,0.03398548562295263
Consonant-Vowel Ratio (3A),Cultural Categories of Languages with Identity of 'Finger' and 'Hand' (130B),0.5708400330542129,0.015404889725024169
Voicing in Plosives and Fricatives (4A),Voicing and Gaps in Plosive Systems (5A),0.5358679952516668,6.356001717499223e-97
Voicing in Plosives and Fricatives (4A),Verb-Initial with Negative that is Immediately Postverbal or between Subject and Object (144W),0.5651941652604391,0.0013358330173432098
Uvular Consonants (6A),SNegVO Order (144I),0.5846394973001241,4.6826379145438385e-16
Glottalized Consonants (7A),Obligatory Double Negation (143B),0.7354284318375095,0.0005513712496406914
Glottalized Consonants (7A),Internally-headed relative clauses (90D),0.5898620864007073,0.0019564646293622236
Glottalized Consonants (7A),Cultural Categories of Languages with Identity of 'Finger' and 'Hand' (130B),0.5877139072192406,0.0027314668638692423
Lateral Consonants (8A),Obligatory Double Negation (143B),0.639409003313049,0.037823719513409196
Lateral Consonants (8A),"Languages with two Dominant Orders of Subject, Object, and Verb (81B)",0.5466475367288914,0.009212484892417876
The Velar Nasal (9A),Verb-Initial with Preverbal Negative (144V),0.5535505572770185,0.020983359666556078
Vowel Nasalization (10A),Nasal Vowels in West Africa (10B),1.0,1.1205592875074531e-07
Front Rounded Vowels (11A),Obligatory Double Negation (143B),0.7554515674132066,0.005069362701225328
Syllable Structure (12A),Number of Non-Derived Basic Colour Categories (132A),0.591520158145309,0.0008312212537614574
Syllable Structure (12A),Optional Double Negation (143C),0.9029273380387691,0.020818682613414803
Fixed Stress Locations (14A),Number of Non-Derived Basic Colour Categories (132A),0.646474510657066,0.010109173922512312
Fixed Stress Locations (14A),Red and Yellow (135A),0.5339034651066707,0.006530875728445439
Weight Factors in Weight-Sensitive Stress Systems (16A),Verb-Initial with Clause-Final Negative (144X),0.6974858324629157,0.005124777013067021
Semantic Distinctions of Evidentiality (77A),Coding of Evidentiality (78A),0.8083126794702762,5.781494952454203e-111
Coding of Evidentiality (78A),Correlative relative clauses (90E),1.0,0.04238011199168397
Coding of Evidentiality (78A),Para-Linguistic Usages of Clicks (142A),0.5880435162852976,6.493864724989696e-05
Verbal Number and Suppletion (80A),Green and Blue (134A),0.7177405625652734,0.016224836050121604
Verbal Number and Suppletion (80A),SVONeg Order (144K),0.7006490497453707,4.6448706446930254e-06
Verbal Number and Suppletion (80A),NegSVO Order (144H),0.9999999999999999,5.1090890280633316e-12
"Order of Object, Oblique, and Verb (84A)",Relationship between the Order of Object and Verb and the Order of Adposition and Noun Phrase (95A),0.5809304100582667,7.539369742153768e-114
"Order of Object, Oblique, and Verb (84A)",Relationship between the Order of Object and Verb and the Order of Relative Clause and Noun (96A),0.7182288393789252,1.8925946165463384e-151
