0,1
1A,139A
1A,140A
2A,139A
2A,140A
3A,139A
3A,140A
4A,139A
4A,140A
5A,139A
5A,140A
6A,139A
6A,140A
7A,139A
7A,140A
8A,139A
140A,8A
9A,139A
9A,140A
9A,143D
9A,10B
10A,139A
10A,140A
11A,139A
11A,140A
12A,139A
12A,140A
13A,139A
13A,140A
14A,139A
14A,140A
14A,10B
15A,139A
15A,140A
15A,10B
16A,139A
16A,140A
16A,10B
139A,77A
140A,77A
10B,77A
78A,139A
78A,140A
78A,10B
90G,79A
139A,79A
140A,79A
143D,79A
10B,79A
80A,90G
80A,139A
80A,140A
80A,143D
80A,10B
84A,139A
84A,140A
85A,139A
85A,140A
89A,139A
89A,140A
90A,139A
90A,140A
94A,139A
94A,140A
95A,139A
95A,140A
96A,139A
96A,140A
97A,139A
97A,140A
98A,139A
98A,140A
98A,141A
98A,10B
99A,139A
99A,140A
99A,141A
99A,10B
105A,139A
105A,140A
106A,90G
106A,139A
106A,140A
106A,141A
106A,143D
106A,10B
108A,139A
140A,108A
143D,108A
10B,108A
109A,139A
109A,140A
109A,143D
109A,10B
110A,139A
140A,110A
143D,110A
10B,110A
139A,111A
140A,111A
90G,144X
90E,144X
144R,144X
144M,144X
144G,144X
144X,139A
140A,144X
144Y,144X
144P,144X
144N,144X
144S,144X
90F,144X
144X,144O
144Q,144X
144L,144X
143D,144X
90E,90G
90G,144V
90G,143B
144M,90G
90G,144U
90G,144G
144F,90G
90G,144E
90G,20A
90G,21A
90G,22A
90G,36A
90G,56A
61A,90G
90G,132A
90G,133A
134A,90G
90G,135A
90G,138A
90G,139A
90G,140A
90G,141A
90G,142A
144Y,90G
144N,90G
81B,90G
90G,90F
90G,144W
90G,144C
90G,144T
90G,143D
39B,90G
90G,10B
90G,21B
79B,90G
90G,27A
90G,128A
90E,144V
90E,143B
90E,144U
90E,144G
144F,90E
90E,144E
90E,132A
90E,133A
134A,90E
90E,135A
90E,139A
90E,140A
144Y,90E
144N,90E
81B,90E
90E,144W
90E,144C
90E,144T
90E,143D
90E,10B
144R,144V
144M,144V
144V,139A
140A,144V
144Y,144V
144P,144V
144N,144V
144S,144V
90F,144V
144V,144O
144Q,144V
144L,144V
143D,144V
144R,144U
144R,144G
144R,139A
144R,140A
144R,144W
144R,144T
144M,143B
143B,144G
143B,144E
143B,139A
143B,140A
143B,141A
143B,143C
143B,90F
143B,144O
39B,143B
144M,144U
144M,144G
144M,144F
144M,139A
144M,140A
144M,141A
144M,144N
144M,143C
