feature_x,feature_y,correlation,p-value
Consonant Inventories (1A),The Position of Negative Morphemes in Object-Initial Languages (144Y),0.8711871219403557,0.023820455903274283
Vowel Quality Inventories (2A),The Position of Negative Morphemes in Object-Initial Languages (144Y),0.8834522085987722,0.01958352460380148
Consonant-Vowel Ratio (3A),Multiple Negative Constructions in SOV Languages (144M),0.6872566017909164,0.0008141628798748647
Consonant-Vowel Ratio (3A),Optional Double Negation in SVO languages (144G),0.6660500601762984,0.012939464836154655
Consonant-Vowel Ratio (3A),Nasal Vowels in West Africa (10B),0.8838834764831843,0.008281793437561455
Voicing in Plosives and Fricatives (4A),Correlative relative clauses (90E),0.7493430439111702,0.012598624214509368
Voicing in Plosives and Fricatives (4A),Multiple Negative Constructions in SOV Languages (144M),0.5504448716455628,0.011906811612949647
Voicing in Plosives and Fricatives (4A),Obligatory Double Negation in SVO languages (144F),0.6100195847719234,0.04627029157276134
Voicing in Plosives and Fricatives (4A),"Languages with two Dominant Orders of Subject, Object, and Verb (81B)",0.5250043397329032,0.004926977632249725
Voicing in Plosives and Fricatives (4A),Languages with different word order in negative clauses (144C),0.9429903335828895,0.004782509480211993
Voicing and Gaps in Plosive Systems (5A),Obligatory Double Negation in SVO languages (144F),0.7669127770641418,0.005883723153875066
Voicing and Gaps in Plosive Systems (5A),Optional Double Negation in SOV languages (144O),0.8460434230488472,0.004041757973289467
Voicing and Gaps in Plosive Systems (5A),Nasal Vowels in West Africa (10B),0.7637626158259733,0.04565912378141166
Uvular Consonants (6A),Correlative relative clauses (90E),0.656204984899083,0.039338704922658785
Uvular Consonants (6A),Multiple Negative Constructions in SOV Languages (144M),0.5128017827300074,0.020773962020559485
Glottalized Consonants (7A),The Position of Negative Morphemes in Object-Initial Languages (144Y),0.9201575383978459,0.009307737404409813
Glottalized Consonants (7A),Cultural Categories of Languages with Identity of 'Finger' and 'Hand' (130B),0.6238896163913221,0.0002987530045958773
Lateral Consonants (8A),Optional Double Negation in SVO languages (144G),0.600588970336348,0.029966807719255403
Lateral Consonants (8A),Multiple Negative Constructions in SVO Languages (144E),0.516058182792452,0.033955216477021606
Lateral Consonants (8A),Obligatory Double Negation in SOV languages (144N),0.5384759887617976,0.0211393312114955
Lateral Consonants (8A),Cultural Categories of Languages with Identity of 'Finger' and 'Hand' (130B),0.5122056727163324,0.004502832181597541
The Velar Nasal (9A),Number of Non-Derived Basic Colour Categories (132A),0.5535753536705987,0.0033491717924758564
Vowel Nasalization (10A),Nasal Vowels in West Africa (10B),0.8053132382897391,1.0834576065701913e-09
Front Rounded Vowels (11A),Correlative relative clauses (90E),0.656204984899083,0.039338704922658785
Tone (13A),Optional Double Negation in SVO languages (144G),0.607771915465183,0.03604659490473058
Fixed Stress Locations (14A),Weight-Sensitive Stress (15A),-0.5678785356044596,4.962391044005709e-44
Fixed Stress Locations (14A),Multiple Negative Constructions in SVO Languages (144E),0.6068373206571357,0.007576123836845354
Weight-Sensitive Stress (15A),Optional Double Negation in SOV languages (144O),0.8111071056538126,0.026826773158517624
Weight Factors in Weight-Sensitive Stress Systems (16A),Optional Double Negation in SOV languages (144O),0.8111071056538126,0.026826773158517624
Semantic Distinctions of Evidentiality (77A),Coding of Evidentiality (78A),0.7102915483462713,2.023926345491433e-65
Semantic Distinctions of Evidentiality (77A),The Position of Negative Morphemes in Object-Initial Languages (144Y),0.8315841857951101,0.020373189339667523
Coding of Evidentiality (78A),Correlative relative clauses (90E),0.8669214468630106,0.005319596035924488
Suppletion According to Tense and Aspect (79A),Correlative relative clauses (90E),0.9226129063148777,0.003068164686758164
Suppletion According to Tense and Aspect (79A),The Position of Negative Morphemes in Object-Initial Languages (144Y),0.944911182523068,0.01539243807330231
Verbal Number and Suppletion (80A),Green and Blue (134A),0.6614950926316516,0.005258731117924088
Verbal Number and Suppletion (80A),NegSVO Order (144H),0.5961079755653117,3.119561169068721e-06
"Order of Object, Oblique, and Verb (84A)",Correlative relative clauses (90E),0.8950094866952748,0.0004675032328832375
"Order of Object, Oblique, and Verb (84A)","Languages with two Dominant Orders of Subject, Object, and Verb (81B)",0.6920593529245296,1.488776211698898e-06
Order of Adposition and Noun Phrase (85A),Order of Adverbial Subordinator and Clause (94A),-0.5229090107470415,2.2922120850909388e-42
Order of Adposition and Noun Phrase (85A),Relationship between the Order of Object and Verb and the Order of Adposition and Noun Phrase (95A),0.9209558348568351,0.0
Order of Adposition and Noun Phrase (85A),Relationship between the Order of Object and Verb and the Order of Relative Clause and Noun (96A),-0.607247345161954,1.1430717694532673e-75
Order of Adposition and Noun Phrase (85A),Optional Double Negation in SVO languages (144G),0.5721811275616377,0.0018177373121033384
Order of Adposition and Noun Phrase (85A),Optional Triple Negation (143D),0.8366600265340756,0.037840969485813114
Order of Adposition and Noun Phrase (85A),Nasal Vowels in West Africa (10B),0.7625393775851459,0.0024374781959841524
