0,1
1A,139A
1A,140A
2A,139A
2A,140A
3A,139A
3A,140A
4A,139A
4A,140A
5A,139A
5A,140A
6A,139A
6A,140A
7A,139A
7A,140A
8A,139A
8A,140A
9A,90G
9A,139A
9A,140A
9A,143D
9A,10B
10A,90G
10A,139A
10A,140A
141A,10A
139A,11A
140A,11A
12A,139A
12A,140A
139A,13A
140A,13A
14A,90G
14A,139A
14A,140A
141A,14A
10B,14A
90G,15A
15A,139A
15A,140A
141A,15A
10B,15A
16A,90G
16A,139A
16A,140A
16A,141A
16A,10B
90G,77A
139A,77A
140A,77A
143D,77A
10B,77A
90G,78A
78A,139A
78A,140A
143D,78A
10B,78A
79A,90G
79A,139A
79A,140A
79A,141A
79A,143D
79A,10B
80A,90G
80A,139A
80A,140A
80A,141A
80A,143D
80A,10B
84A,139A
84A,140A
85A,139A
85A,140A
139A,89A
140A,89A
90A,139A
90A,140A
94A,139A
94A,140A
143D,94A
95A,139A
95A,140A
96A,139A
96A,140A
97A,139A
97A,140A
90G,98A
139A,98A
140A,98A
141A,98A
143D,98A
10B,98A
99A,90G
99A,139A
99A,140A
141A,99A
143D,99A
10B,99A
105A,139A
105A,140A
106A,90G
106A,139A
106A,140A
141A,106A
106A,144C
143D,106A
10B,106A
108A,90G
108A,139A
108A,140A
108A,143D
108A,10B
90G,109A
109A,139A
109A,140A
143D,109A
10B,109A
110A,90G
110A,139A
110A,140A
141A,110A
143D,110A
10B,110A
90G,111A
111A,139A
111A,140A
144X,90G
144X,90E
144X,144R
144X,144M
144G,144X
144X,144F
144X,139A
144X,140A
144X,141A
144X,144Y
144X,144P
144X,144N
144X,144S
144X,90F
144X,144O
144Q,144X
144X,144L
144X,143D
39B,144X
144X,10B
90G,90E
144V,90G
143B,90G
144M,90G
90G,144U
144G,90G
90G,144F
90D,90G
144E,90G
17A,90G
20A,90G
90G,21A
90G,22A
90G,28A
90G,29A
30A,90G
31A,90G
90G,32A
90G,35A
36A,90G
39A,90G
40A,90G
90G,43A
46A,90G
47A,90G
52A,90G
90G,53A
90G,54A
56A,90G
60A,90G
61A,90G
62A,90G
65A,90G
66A,90G
67A,90G
68A,90G
73A,90G
113A,90G
114A,90G
90G,115A
123A,90G
124A,90G
90G,129A
130A,90G
132A,90G
90G,133A
90G,134A
135A,90G
138A,90G
90G,139A
90G,140A
141A,90G
90G,142A
144Y,90G
90C,90G
144N,90G
131A,90G
81B,90G
143C,90G
90F,90G
144W,90G
90G,144O
90G,144C
144T,90G
